# epoch_start_s=1774903441
timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
15.822,0.25139116,0.007182605,9.737218,-0.3172236,-0.046764164,0.05062787,-2688,3328,12285
15.935,0.35194764,-0.1316811,9.818622,-0.38397244,-0.045431852,0.01292343,-2688,5376,12797
16.049,0.2873042,-0.4309563,10.199299,-0.4187458,-0.09885758,-0.014122511,-2432,7424,13565
16.163,0.14844051,-0.46447512,9.574412,-0.4111516,-0.06754824,-0.009992342,-2432,9984,12797
16.282,0.2825158,-0.6943185,9.85214,-0.353062768,-0.048895864,0.023049004,-2176,12032,11773
16.397,0.10773908,-0.91697928,9.909601,-0.34813324,-0.056223584,0.033973964,-896,14336,12797
16.515,0.15801731,-1.0534488,9.782708,-0.33933996,-0.056223584,0.046364476,-384,16384,12285
16.631,0.16759412,-1.1611878,9.871294,-0.25647014,0.062218988,0.06768147,896,17921,11005
16.746,0.19871874,-1.5921441,9.895236,-0.397428768,0.014921899,0.016920368,1664,20481,11005
16.863,0.09816227,-1.5275006,9.902418,-0.2204977,0.04942879,0.028644716,4736,21761,8701
16.982,-0.04309563,-1.6687586,10.01734,-0.22929096,0.034773352,-0.009992342,4480,23297,9725
17.096,-0.17238252,-1.6184803,9.969456,-0.2648637,0.0303767232,0.016387442,5248,23553,9981
17.213,-0.1316811,-1.661576,10.019734,-0.19891424,0.024114854,-0.018918836,9088,22273,7677
17.328,-0.4285621,-1.661576,10.077195,-0.19251914,0.031842264,0.017320062,11648,22785,8445
17.444,-0.5650316,-1.7741034,9.911995,-0.222362936,0.03703828,0.01718683,11648,23297,8701
17.559,-0.7182605,-1.7381904,9.993398,-0.23608574,0.03450689,0.009059724,11648,23809,9981
17.679,-0.6919243,-1.89620768,9.68694,-0.2375513,0.027312404,0.026513018,12416,25345,11773
17.794,-0.6967127,-1.9321208,9.911995,-0.24088208,0.047963248,-0.004396631,14976,24833,11773
17.909,-0.6847417,-1.9297266,9.710882,-0.19345174,-0.041301684,0.011990812,14976,25089,14077
18.024,-0.7541735,-1.9632454,9.694122,-0.195317,-0.004396631,-0.015721286,20352,21249,15357
18.138,-0.94092125,-1.9512744,9.713276,-0.18798928,0.027445634,0.007727412,22400,19969,16637
18.261,-1.0893618,-1.934515,9.548077,-0.20117916,0.06101991,0.009725881,23424,18433,17149
18.375,-1.0941502,-2.0470424,10.15381,-0.23701838,-0.0067947932,0.003863706,24448,19457,20477
18.490,-1.1348516,-2.0733786,9.842564,-0.17413322,0.048362936,0.04330015,29824,17665,25597
18.605,-1.2593501,-1.9129672,9.409213,-0.17546554,-0.038903524,0.03344104,-32640,16641,28669
18.720,-1.1061212,-1.9608512,9.442732,-0.109249616,0.019718224,0.003996937,-28032,15873,-30723
18.837,-1.2018893,-1.9033904,9.864111,-0.1168438,0.010125575,-0.010392036,-23936,14593,-21763
18.958,-1.3670892,-1.7238252,9.603143,-0.05435835,0.013056661,0.010924961,-22656,16385,-12291
19.074,-1.328782,-1.7381904,9.89763,-0.077540584,-0.016520674,0.007860643,-22144,16641,-2051
19.188,-1.484405,-1.5753847,10.429143,-0.057422664,-0.0377044384,0.011324655,-22656,18945,7421
19.306,-1.80522816,-1.364695,9.885659,-0.082470136,-0.040369064,0.047563552,-26496,21761,19965
19.422,-1.6304513,-1.1827357,9.770737,0.058888208,-0.0041301684,0.061686064,-31616,24833,30461
19.545,-1.4317326,-0.9840169,9.787497,0.014255743,-0.048629404,0.028511486,27520,25857,-25347
19.663,-1.1994951,-0.787692336,9.691729,-0.00026646248,-0.047563552,0.03956968,23680,24577,-21251
19.780,-1.4053964,-0.60812724,10.228029,-0.04183461,-0.08113782,0.056623276,21632,21505,-18179
19.895,-1.4437036,-0.33279404,10.139444,0.0061286368,-0.08939816,0.026779478,22400,18177,-19715
20.011,-1.1420342,-0.191536132,9.572019,-0.019451762,-0.070479332,0.015454824,27008,11521,-31747
20.134,-1.2138603,-0.016759412,9.835381,-0.045964776,-0.07261103,0.05369219,-32640,4609,17917
20.249,-1.2425907,0.033518824,10.187328,-0.0210505368,-0.07993874,0.0041301684,-30592,513,765
20.366,-0.90740248,0.24420858,9.454702,-0.10338744,-0.05795559,0.00013323124,-29824,-1279,-9988
20.482,-0.9864111,0.2657564,9.947908,-0.08953139,-0.04316692,0.016520674,-28800,-3071,-19460
20.595,-1.1755531,0.34476504,9.799467,-0.10565238,-0.0074609496,-0.011724349,32640,-3071,-27908
20.712,-0.94331544,0.4309563,9.878476,-0.11884227,-0.1087167,0.0303767232,30336,-3583,30460
20.833,-0.93852708,0.60333884,9.792285,-0.15494794,-0.11111485,0.003863706,25984,-2815,22780
20.948,-0.8714894,0.5626374,9.674969,-0.1637412,-0.08633384,-0.00039969372,23168,-2047,19452
21.061,-0.7326257,0.61770404,9.981427,-0.13869372,-0.09326187,-0.002264931,20864,-1535,17660
21.175,-0.90261408,0.7278373,9.854534,-0.16813782,-0.11417917,0.024114854,16768,-1023,16636
21.290,-0.7086837,0.7110779,10.041282,-0.09366156,-0.09166309,0.018785606,16000,-1279,15612
21.409,-0.7398083,0.7493851,10.225636,-0.114712104,-0.07660796,0.010658499,13952,-1279,15100
21.525,-0.7565677,0.90740248,9.931149,-0.1530827,-0.09872434,0.01079173,12160,-1791,13820
21.638,-0.59615624,0.9696517,9.82341,-0.11018224,-0.090996936,0.032908116,11648,-1279,13564
21.752,-0.6368576,1.1180922,9.698911,-0.11910873,-0.10631853,-0.007327718,9088,-1791,12796
21.867,-0.361524436,0.9720459,9.821015,-0.19012096,-0.08739969,0.035839204,7040,-2559,12284
21.982,-0.35194764,0.92176768,10.0987424,-0.20610872,-0.10591883,0.028111792,5248,-3071,13052
22.105,-0.320823,0.91219084,9.830592,-0.26113322,-0.09486064,-0.018119448,3456,-3327,13308
22.218,-0.4165911,0.9983821,10.235212,-0.2511409,-0.13069984,-0.021983154,2944,-2815,11772
22.333,-0.260968,0.91697928,10.096349,-0.2371516,-0.07114548,-0.040635528,1152,-2559,11260
22.449,-0.4381389,1.0007763,10.043676,-0.29603982,-0.048895864,-0.02358193,896,-2559,11004
22.564,-0.354341868,0.8643068,10.084377,-0.25380552,-0.14562174,-0.026246556,-128,-1792,12540
22.687,-0.50517652,0.8643068,10.007763,-0.20704136,-0.13189892,-0.029444104,-896,-2816,12796
22.803,-0.22266076,0.82360536,9.811439,-0.23275496,-0.110315464,-0.01385605,-1152,-2304,13308
22.919,0.1364695,0.61530984,9.674969,-0.26579632,-0.06328484,-0.034640124,-2432,-2048,12284
23.033,0.04309563,0.5386954,10.031705,-0.30096936,-0.09166309,-0.024514546,-1920,-1024,13820
